Title,Source,Published At,Description,URL
"India's TCS, Transamerica agree to end administration agreement - Reuters",Google News,2023-06-16T04:41:00Z,"India's TCS, Transamerica agree to end administration agreement  Reuters",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZGVhbHMvaW5kaWFzLXRjcy10cmFuc2FtZXJpY2EtYWdyZWUtZW5kLWFkbWluaXN0cmF0aW9uLWFncmVlbWVudC0yMDIzLTA2LTE2L9IBAA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
India's TCS receives $1.83 bln-worth advance purchase order from ... - Reuters India,Google News,2023-05-22T05:56:00Z,India's TCS receives $1.83 bln-worth advance purchase order from ...  Reuters India,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2luZGlhL2luZGlhcy10Y3MtcmVjZWl2ZXMtMTgzLWJsbi13b3J0aC1hZHZhbmNlLXB1cmNoYXNlLW9yZGVyLWJzbmwtMjAyMy0wNS0yMi_SAQA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
Activist investor TCS Capital calls on Yelp to explore sale - WSJ - Reuters,Google News,2023-05-22T23:35:00Z,Activist investor TCS Capital calls on Yelp to explore sale - WSJ  Reuters,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZGVhbHMvYWN0aXZpc3QtaW52ZXN0b3ItdGNzLWNhcGl0YWwtY2FsbHMteWVscC1leHBsb3JlLXNhbGUtd3NqLTIwMjMtMDUtMjIv0gEA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
Top 10 Web development companies in 2023,ReadWrite,2023-06-12T18:00:21Z,"In the highly challenging business environment, web development has become essential. Businesses are seeking creative methods to enhance their online presence as the digital world is always changing. Due to this, the majority of web development firms that foc…",https://readwrite.com/top-10-web-development-companies-in-2023/
More women quit their jobs at India’s largest IT firm after it scrapped remote work,Business Insider,2023-06-14T12:58:09Z,"Tata Consultancy Services ordered employees back to the office three days a week last year. Since then, it has seen more female employees quit.",https://www.businessinsider.com/remote-work-scrapped-more-women-quit-jobs-indian-it-firm-2023-6
Formula E’s Gen3 car is living up to its potential after a rocky start,Engadget,2023-05-26T13:00:07Z,"We’re in the midst of a three-week break in the Formula E calendar, so now is a good time to take stock of the season so far. This is the ninth season of the all-electric racing series, but it’s the first of the Gen3 era. The new car is a massive leap forward…",https://www.engadget.com/formula-e-gen3-car-is-living-up-to-its-potential-after-a-rocky-start-130007090.html
Here's why the US could still be considered in default even if it keeps paying its debt,Business Insider,2023-05-24T10:26:07Z,Insider's Phil Rosen breaks down why credit agencies could still downgrade the country's creditworthiness in a no-default scenario.,https://www.businessinsider.com/debt-ceiling-default-yellen-treasury-markets-investors-finance-atlantic-council-2023-5
End of Remote Work Pushes Women Out of India’s Largest IT Firm,Yahoo Entertainment,2023-06-12T12:24:20Z,(Bloomberg) -- An end to remote work at India’s largest software firm had an unintended causality — more female employees decided not to return to the office...,https://finance.yahoo.com/news/end-remote-pushes-women-india-122420256.html
"TCS, Transamerica end $2 billion contract due to macro environment",The Indian Express,2023-06-16T07:29:52Z,"The 10-year contract, signed in early 2018, involved TCS working with US-based Transameria to enable the digitisation of more than 10 million policies into a single integrated platform.",https://indianexpress.com/article/business/companies/tcs-transamerica-2-billion-contract-end-8666315/
Why Yelp Stock Jumped Today,Motley Fool,2023-05-23T15:52:51Z,Does the stock have 100% upside potential?,https://www.fool.com/investing/2023/05/23/why-yelp-stock-jumped-today/
These 2 Stocks Are Rising in a Down Market,Motley Fool,2023-05-23T13:41:57Z,These companies are defying concerns about a U.S. debt default.,https://www.fool.com/investing/2023/05/23/these-2-stocks-are-rising-in-a-down-market/
Yelp Shares Surge After Activist Pushes Firm to Look Into Sale,Yahoo Entertainment,2023-05-23T00:13:37Z,(Bloomberg) -- Yelp shares surged following the Wall Street Journal’s report that an activist investor has called for the company to look into a sale and...,https://finance.yahoo.com/news/yelp-shares-surge-activist-pushes-001337500.html
"Stocks making the biggest moves midday: Yelp, AutoZone, Lowe's, Apple and more",Biztoc.com,2023-05-23T16:42:06Z,Yelp Inc. signage is displayed on a monitor on the floor of the New York Stock Exchange (NYSE) in New York. Check out the companies making headlines in midday trading. Yelp — Shares of the online reviewing company jumped more than 9% after activist investor T…,https://biztoc.com/x/c94526be470efc60
"Sensex slips 130 pts, Nifty down to 18,733; IndusInd Bank, Infosys, TCS lose",The Indian Express,2023-06-15T04:18:47Z,"IT stocks were the biggest losers in the opening trade, dragging the indices, after JP Morgan reiterated its negative stance on Indian information technology (IT) services.",https://indianexpress.com/article/business/market/stock-market-live-sensex-nifty-indusind-tcs-infosys-8663687/
【Computex 2023】Arm CEO Rene Haas：AI 運算需求前所未見，我們正處在一個黃金時代！,Inside.com.tw,2023-05-29T08:27:00Z,Rene Haas 說道，「我已經是這個業界的老人了，但我仍會說這是前所未見的。我們在一個黃金時代，運算需求很強大，且將改變一切。」,https://www.inside.com.tw/article/31775-Arm-Computex-2023
TCS to offer generative AI services to clients using Google tech | Mint - Mint,Google News,2023-05-22T10:07:13Z,TCS to offer generative AI services to clients using Google tech | Mint  Mint,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvbmV3cy90Y3MtdG8tb2ZmZXItZ2VuZXJhdGl2ZS1haS1zZXJ2aWNlcy10by1jbGllbnRzLXVzaW5nLWdvb2dsZS10ZWNoLTExNjg0NzQ5MDU1MDIyLmh0bWzSAYABaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9uZXdzL3Rjcy10by1vZmZlci1nZW5lcmF0aXZlLWFpLXNlcnZpY2VzLXRvLWNsaWVudHMtdXNpbmctZ29vZ2xlLXRlY2gvYW1wLTExNjg0NzQ5MDU1MDIyLmh0bWw?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
"Sym Maxsym Tl 508 Tcs, maxiscooter che sfida il T-Max",Gazzetta.it,2023-06-07T08:08:57Z,"Bicilindrico da 508 cc, 45 cavalli di potenza, controllo di trazione e con un prezzo di listino di 9.499 euro, il tutto senza rinunciare alla qualità. Il MaxSym Tl 508 Tcs mostra muscoli e tanto carattere. Ecco come va",https://www.gazzetta.it/motori/la-mia-moto/prove-scooter/07-06-2023/sym-maxsym-maxiscooter-tl-508-tcs-prova-su-strada.shtml
"Can new CEOs at TCS, Tech Mahindra bring a turnaround? 10-year history says no - Economic Times",Google News,2023-06-19T06:44:00Z,"Can new CEOs at TCS, Tech Mahindra bring a turnaround? 10-year history says no  Economic Times",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMinwFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9jYW4tbmV3LWNlb3MtYXQtdGNzLXRlY2gtbWFoaW5kcmEtYnJpbmctYS10dXJuYXJvdW5kLTEwLXllYXItaGlzdG9yeS1zYXlzLW5vL2FydGljbGVzaG93LzEwMTEwMDA4NS5jbXPSAZoBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvc3RvY2tzL25ld3MvY2FuLW5ldy1jZW9zLWF0LXRjcy10ZWNoLW1haGluZHJhLWJyaW5nLWEtdHVybmFyb3VuZC0xMC15ZWFyLWhpc3Rvcnktc2F5cy1uby9hbXBfYXJ0aWNsZXNob3cvMTAxMTAwMDg1LmNtcw?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
More women quit their jobs at India’s largest IT firm after it scrapped remote work,Biztoc.com,2023-06-14T14:00:05Z,"India's IT giant saw more women quit after it scrapped remote working policies. Kuni Takahashi/Getty Images Tata Consultancy Services, India's largest IT firm, saw more female employees quit the past year. The company said it felt this change was influenced b…",https://biztoc.com/x/8df3fc1581766c4c
"Can new CEOs at TCS, Tech Mahindra bring a turnaround? 10-year history says no - The Economic Times",Google News,2023-06-19T06:45:22Z,"Can new CEOs at TCS, Tech Mahindra bring a turnaround? 10-year history says no  The Economic Times",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMilgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9jYW4tbmV3LWNlb3MtYXQtdGNzLXRlY2gtbWFoaW5kcmEtYnJpbmctYS10dXJuYXJvdW5kLTEwLXllYXItaGlzdG9yeS1zYXlzLW5vL2FydGljbGVzaG93LzEwMTEwMDA4NS5jbXPSAZoBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvc3RvY2tzL25ld3MvY2FuLW5ldy1jZW9zLWF0LXRjcy10ZWNoLW1haGluZHJhLWJyaW5nLWEtdHVybmFyb3VuZC0xMC15ZWFyLWhpc3Rvcnktc2F5cy1uby9hbXBfYXJ0aWNsZXNob3cvMTAxMTAwMDg1LmNtcw?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1
"Holidays booked with foreign tour operators escape 20% TCS, but Indian tour operators must collect this tax",Moneycontrol,2023-06-05T02:19:11Z,"The 20% Tax Collected at Source (TCS) rule for overseas tour packages seems to have a loophole. Booking such a package with an Indian tour operator attracts TCS right away. With a foreign tour operator, you can escape TCS until international payments on your …",https://www.moneycontrol.com/news/business/personal-finance/holidays-booked-with-foreign-tour-operators-escape-20-tcs-but-indian-tour-operators-must-collect-this-tax-10740851.html
"TCS of 20% on international spends, credit cards under LRS: Finminâs Rs 7-lakh relaxation a relief, but confusion far from over",Moneycontrol,2023-05-20T15:04:25Z,"International credit card spends are under LRS from May 16 and the 20 percent TCS will kick in from July 1, 2023. Until June 30, TCS at the rate of 5 percent will apply.",https://www.moneycontrol.com/news/business/personal-finance/tcs-of-20-on-international-spends-credit-cards-under-lrs-finmins-rs-7-lakh-relaxation-a-relief-but-confusion-far-from-over-10629941.html
"Sensex soars 233 pts, Nifty rises above 18,750; all sectors trade in green",The Indian Express,2023-06-16T04:06:27Z,"By 9.30 am, all sectors turned green, as the Nifty Metal index gained 0.97 per cent, and the realty index jumped 0.96 per cent.",https://indianexpress.com/article/business/market/stock-market-live-sensex-nifty-ikio-lighting-indigo-reliance-hero-moto-8665861/
"Sensex, Nifty trade flat; metal stocks rally",The Indian Express,2023-06-14T04:04:02Z,"Sectorally, the media index gained 1.03 per cent, followed by Nifty Metal at 0.98 per cent.",https://indianexpress.com/article/business/market/stock-market-today-sensex-nifty-live-adani-group-zee-8661722/
"TCS doesnât apply only to your foreign currency spending, domestic purchases too can bear its brunt",Moneycontrol,2023-05-26T03:18:51Z,"Apart from paying Tax Collected at Source (TCS) on foreign remittances and on purchases of overseas tour packages, you also have to pay TCS if you buy a car that costs over Rs 10 lakh.",https://www.moneycontrol.com/news/business/personal-finance/tcs-doesnt-apply-only-to-your-foreign-currency-spending-domestic-purchases-too-can-bear-its-brunt-10664401.html
"TCS rules on foreign tours, magazine subscriptions, iTunes, international equitiesâ¦ all doubts clarified",Moneycontrol,2023-05-22T13:57:01Z,"The government partially rolled back the 20% tax collected at source (TCS) rule for international spends on credit cards. Now, only those who spend more than Rs 7 lakh will come under the Liberalised Remittance Scheme and be subject to TCS.",https://www.moneycontrol.com/news/business/personal-finance/tcs-rules-on-foreign-tours-magazine-subscriptions-itunes-international-equities-all-doubts-clarified-10639211.html
TCS Group Holding First Quarter 2023 Earnings: EPS: ₽80.80 (vs ₽7.15 in 1Q 2022),Yahoo Entertainment,2023-05-31T05:00:35Z,TCS Group Holding ( LON:TCS ) First Quarter 2023 Results Key Financial Results Revenue: ₽53.0b (up 70% from 1Q 2022...,https://finance.yahoo.com/news/tcs-group-holding-first-quarter-050035746.html
Индекс Мосбиржи превысил 2700 пунктов впервые за год,Vedomosti.ru,2023-05-29T14:10:50Z,"Эксперты ожидают дальнейшего роста индекса, если не вмешается геополитика",https://www.vedomosti.ru/investments/articles/2023/05/29/977473-indeks-mosbirzhi-previsil
Simply Save: How 20% TCS will affect your investments in foreign stocks and property abroad,Moneycontrol,2023-05-24T12:29:01Z,The recently announced 20% tax collected at source on international spends via credit cards has come as a rude shock to those planning a holiday abroad. But itâs worth remembering that these are not the only overseas spends that attract TCS. In a conversati…,https://www.moneycontrol.com/news/podcast/simply-save-how-20-percent-tcs-will-affect-your-investments-in-foreign-stocks-and-property-abroad-10653901.html
Women are quitting India's biggest IT firm as it ends work-from-home,Yahoo Entertainment,2023-06-12T08:35:00Z,An end to Tata Consultancy Services’ (TCS) work-from-home policy may be pushing its woman employees to quit.,https://finance.yahoo.com/news/women-quitting-indias-biggest-firm-083500047.html
"TCS on international credit card transactions to increase financial, compliance burden for individual travellers",Moneycontrol,2023-05-19T05:08:16Z,"International transactions via credit cards have been brought under the RBIâs Liberalized Remittance Scheme or LRS from May 16, 2023. From July 1, 2023, there will be 20 percent TCS on them with no minimum threshold.",https://www.moneycontrol.com/news/business/personal-finance/tcs-on-international-credit-card-transactions-to-increase-financial-compliance-burden-for-individual-travellers-10620431.html
Der Gotthardtunnel ist wegen technischer Probleme in beide Richtungen gesperrt,Www.nzz.ch,2023-05-26T08:48:08Z,Das Pfingstwochenende hat begonnen und mit ihm werden lange Staus vorm Gotthard erwartet. Los geht es mit einer Vollsperrung von ungewisser Dauer.,https://www.nzz.ch/schweiz/gotthard-tunnel-wegen-technischer-probleme-in-beide-richtungen-gesperrt-ld.1739789
Российский рынок юаневых бондов может удвоиться в этом году,Vedomosti.ru,2023-06-14T20:19:21Z,"Объем размещений достигнет 80–90 млрд юаней, оценивают эксперты",https://www.vedomosti.ru/investments/articles/2023/06/14/980363-rossiiskii-rinok-yuanevih-bondov-mozhet-udvoitsya
"TDS, TCS arenât money lost forever, you can adjust or claim it back",Moneycontrol,2023-05-25T05:45:02Z,"Low-income earners need to track tax collected and deducted to receive refunds. TDS is not final tax liability, total tax depends on your tax bracket.",https://www.moneycontrol.com/news/business/personal-finance/tds-tcs-arent-money-lost-forever-you-can-adjust-or-claim-it-back-10658241.html
Investor TCS Capital calls on Yelp to explore sale or merger with Angi,Yahoo Entertainment,2023-05-23T11:20:16Z,"TCS Capital, which is one of Yelp's top shareholders with a stake of more than 4%, said the company was ""shockingly undervalued.""  ""As a former board member ...",https://finance.yahoo.com/news/tcs-capital-calls-yelp-explore-112016142.html
